row_index,failure_type,actual_grade,predicted_grade,title,start_date,genre_group,venue,venue_type,organizer_type,organizer
32,D/E 내부 혼동,D,E,연극 <돌아온다>,2022-05-07,연극,CJ 토월극장,대형,대관,(주)더블케이엔터테인먼트
36,D/E 내부 혼동,D,E,[2022 대한민국오페라페스티벌] 허왕후,2022-05-14,오페라,오페라극장,대형,대관,(재)김해문화재단 김해문화의전당
128,D/E 내부 혼동,D,E,"2023 예술의전당 연극 <추남, 미녀>",2023-04-12,연극,자유소극장,소극장,기획,예술의전당
147,D/E 내부 혼동,D,E,[2023 대한민국오페라페스티벌] 라 트라비아타,2023-05-19,뮤지컬,오페라극장,대형,대관,(사)글로리아오페라단
160,D/E 내부 혼동,D,E,[2023발레축제]기획공연 발레 오디세이,2023-06-16,발레,CJ 토월극장,대형,대관,대한민국발레축제추진단
163,D/E 내부 혼동,D,E,국립오페라단 정기공연 오페라 <일 트로바토레>,2023-06-22,오페라,오페라극장,대형,대관,국립오페라단
178,D/E 내부 혼동,D,E,뮤지컬 <그날들> 10주년 기념 공연,2023-07-12,뮤지컬,오페라극장,대형,대관,(주)인사이트엔터테인먼트
180,D/E 내부 혼동,D,E,아트 서커스 <두 바퀴 자전거> 2023 어린이 가족 페스티벌,2023-08-11,기타(복합),자유소극장,소극장,기획,예술의전당
234,D/E 내부 혼동,D,E,그레이트 오페라 시리즈 Ⅰ 라보엠 (푸치니 서거100주년 기념),2023-11-17,오페라,오페라극장,대형,대관,솔오페라단
257,D/E 내부 혼동,D,E,폴리팝(두들팝ver.2),2023-12-21,연극,자유소극장,소극장,대관,브러쉬씨어터 유한책임회사
319,D/E 내부 혼동,D,E,국립현대무용단 `정글`,2024-04-11,무용,CJ 토월극장,대형,대관,재단법인국립현대무용단
368,D/E 내부 혼동,D,E,국립발레단_돈키호테,2024-06-05,발레,오페라극장,대형,대관,(재)국립발레단
373,D/E 내부 혼동,D,E,[2024 발레축제]라이프 오브 발레리노 / 화양연화,2024-06-11,발레,CJ 토월극장,대형,대관,(사)서울발레시어터
380,D/E 내부 혼동,D,E,4월은 너의 거짓말,2024-06-28,뮤지컬,CJ 토월극장,대형,대관,EMK뮤지컬컴퍼니
386,D/E 내부 혼동,D,E,"아디오스 피아졸라, 라이브탱고",2024-07-06,클래식,콘서트홀,대형,대관,(주)스톰프뮤직
395,D/E 내부 혼동,D,E,파리 오페라 발레 에투알 갈라 2024,2024-07-20,발레,오페라극장,대형,대관,에투알 클래식
440,D/E 내부 혼동,D,E,국립오페라단 정기공연 오페라 <탄호이저>,2024-10-17,오페라,오페라극장,대형,대관,국립오페라단
442,D/E 내부 혼동,D,E,2024 예술의전당 토월정통연극 <햄릿>,2024-10-18,연극,CJ 토월극장,대형,기획,예술의전당
449,D/E 내부 혼동,D,E,국립발레단_라 바야데르,2024-10-30,발레,오페라극장,대형,대관,(재)국립발레단
469,D/E 내부 혼동,D,E,국립오페라단 정기공연 오페라 <서부의 아가씨>,2024-12-05,오페라,오페라극장,대형,대관,국립오페라단
78,D/E 내부 혼동,E,D,국립오페라단 정기공연 4 <라보엠>,2022-12-01,오페라,오페라극장,대형,대관,국립오페라단
81,D/E 내부 혼동,E,D,한화생명과 함께하는 예술의전당 11시 콘서트(12월),2022-12-08,클래식,콘서트홀,대형,기획,예술의전당
101,D/E 내부 혼동,E,D,빈 소년합창단 신년음악회 (4일),2023-02-04,클래식,콘서트홀,대형,대관,크레디아뮤직앤아티스트
130,D/E 내부 혼동,E,D,신세계와 함께하는 2023 예술의전당 토요콘서트(4월),2023-04-15,클래식,콘서트홀,대형,기획,예술의전당
135,D/E 내부 혼동,E,D,국립오페라단 정기공연 오페라 <맥베스>,2023-04-27,오페라,오페라극장,대형,대관,국립오페라단
342,D/E 내부 혼동,E,D,한화생명과 함께하는 예술의전당 11시 콘서트(5월),2024-05-09,클래식,콘서트홀,대형,기획,예술의전당
398,D/E 내부 혼동,E,D,연극 <우산도둑> 2024 어린이 가족 페스티벌,2024-07-26,연극,자유소극장,소극장,기획,예술의전당
461,D/E 내부 혼동,E,D,오페라 <라 트라비아타>,2024-11-23,오페라,오페라극장,대형,대관,국립오페라단
369,취약 등급 누락,D,B,유키 구라모토 내한 25주년 기념 콘서트,2024-06-07,클래식,콘서트홀,대형,대관,크레디아뮤직앤아티스트
2,취약 등급 누락,D,C,코리안심포니 예술감독 다비트 라일란트 취임연주회 - 빛을 향해,2022-01-23,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
4,취약 등급 누락,D,C,KBS교향악단 제774회 정기연주회(1.28),2022-01-28,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
5,취약 등급 누락,D,C,2022 서울시향 오스모 벤스케의 모차르트 레퀴엠 ②,2022-01-30,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
14,취약 등급 누락,D,C,KBS교향악단 제776회 정기연주회,2022-03-24,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
34,취약 등급 누락,D,C,2022 서울시향 오스모 벤스케의 말러 교향곡 10번,2022-05-13,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
41,취약 등급 누락,D,C,KBS교향악단 제778회 정기연주회,2022-05-26,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
42,취약 등급 누락,D,C,국립심포니 : 피네건 다우니 디어의 전람회의 그림,2022-05-29,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
48,취약 등급 누락,D,C,The Class Concert with 임동혁,2022-06-09,클래식,콘서트홀,대형,대관,영음예술기획
49,취약 등급 누락,D,C,2022 서울시향 티에리 피셔의 라벨 다프니스와 클로에 ①,2022-06-10,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
50,취약 등급 누락,D,C,< Amigo : 박규희 x 박종성 >,2022-06-14,클래식,콘서트홀,대형,대관,(주)뮤직앤아트컴퍼니
52,취약 등급 누락,D,C,소프라노 안젤라 게오르규 내한공연,2022-06-26,클래식,콘서트홀,대형,대관,서울콘서트매니지먼트
54,취약 등급 누락,D,C,몬트리올 심포니 오케스트라 내한공연 with 힐러리 한,2022-07-06,클래식,콘서트홀,대형,대관,(주)인아츠프로덕션
55,취약 등급 누락,D,C,쾰른 귀르체니히 오케스트라,2022-07-08,클래식,콘서트홀,대형,대관,(주)빈체로
