feature,importance,rank
cat__venue_type_대형,0.23562769702532488,f01
cat__venue_type_중형,0.1709758800765418,f02
cat__genre_group_클래식,0.11873026153645862,f03
cat__venue_type_소극장,0.0719787177038511,f04
num__duration_days,0.050457121462584006,f05
cat__genre_group_연극,0.0409207372439337,f06
cat__genre_group_뮤지컬,0.036813060861364856,f07
cat__genre_group_발레,0.028628259364692293,f08
cat__organizer_지클레프,0.021312677009472373,f09
num__is_weekend,0.021145647308623932,f10
cat__organizer_예인예술기획,0.01998535651189004,f11
cat__genre_group_기타(복합),0.014069469577008793,f12
cat__organizer_조인클래식,0.013590067032031744,f13
cat__organizer_(재)KBS 교향악단,0.013261872513443239,f14
cat__organizer_(재)국립발레단,0.012850572034589816,f15
cat__genre_group_오페라,0.011926249502285161,f16
cat__organizer_(주)스테이지원,0.011596852672871688,f17
cat__organizer_예술의전당,0.010411574164587935,f18
cat__organizer_콘서트디자인,0.009850933922789684,f19
cat__organizer_type_기획,0.007831148737425417,f20
cat__organizer_type_대관,0.007684518843174769,f21
cat__genre_group_기타,0.006652599874184706,f22
cat__organizer_infrequent_sklearn,0.006552608680801512,f23
cat__organizer_서울예술단,0.0055763714473987935,f24
cat__organizer_(사)밀레니엄심포니오케스트라,0.005348422494614142,f25
